,Confidence,text
0,0.8439,Grilling kabobs on the grill last night was amazing! I'm so glad this weather is finally  here.
1,0.6963,The slowest day ever !! And the weather makes it even worse !
2,0.8802,Fire Weather Watch issued May 17 at 4:21PM CDT expiring May 19 at 9:00PM CDT by NWS Lubbock... {link}
3,0.6897,Im going to lunch early today.   The weather is nice outside so Im going to enjoy #metime somewhere pleasant :)
4,0.6153,Weekend Weather Causes Delays In I-270 Bridge Work  {link}
5,0.6365,Passing out now.  working tonight. Storms today would be nice. Would be great sleeping weather. Mmmm
6,0.5582,US GAS: Warm-Weather Forecasts Lift Natural Gas Futures {link}
7,0.4132,@mention s friday at 6 at tha stadium ...if tha weather bad its gone be in tha gym at 3
8,0.7987,I hate this weather. Good day for a movie marathon though... Xmen! :D
9,0.5695,TGif biatches! Here's to a sunny Friday regardless of rain and drama! #popularnameregardlessofparticipation
10,0.9103,"@mention good crowd in Wrigley today, terrible weather. tell that redneck that just called in 2 check the Reds crowd on a Wed. day game"
11,0.5048,"RT @mention: ""The storm is only that which authenticates your path"" -- @mention"
12,0.6108,in the house washing clothes on this rainy day #BORED
13,0.8655,#WEATHER:  2:53 pm : 57.0F. Feels 56F. 30.10% Humidity. 6.9MPH Northwest Wind.
14,0.6533,Freezing cold Like always whoo buddy excited for tonight let's go #11in11
15,0.7387,...SHOWERS AND THUNDERSTORMS MOVING SLOWLY OVER THE AREA... AN AREA OF RAIN WITH EMBEDDED THUNDERSTORMS WILL DRIFT SLOW {link}
16,0.9293,It is hot out here but it feels great
17,0.7333,"@mention the software queries say two-three ""link degrees"" of the articles. (ie James Burke has the link Science Historian which has...)"
18,0.4299,RT @mention: Need that warm weather to come back
19,0.5476,"I want the sunshine back, please come back :)"
20,0.6564,I can't find a way to delete my iWitness Weather account but at least I've deleted ALL my photos on the site. (1 of which had 3K + views)
21,0.8497,Record LOW humidity in Phoenix today:  {link}
22,0.5621,"@mention If this is what Seattle is like, I'm not surprised somebody killed Rosie Larsen. Everybody must be surly. #TheKilling #Rain"
23,0.6511,@mention ditto I should have worn shorts today! Hello humidity!
24,0.7563,@mention oh nice! We're all the way here in sunny Burbank California!
25,0.4395,"@mention no, normal pajamas. it's not that cold out!"
26,0.6925,@mention Is any part of this storm system going to make it across the mountains/in to NC & SC?
27,0.841,@mention cherry slush
28,0.53,it's hot  as #Truck outside
